year,month,date,pattern
2011,09,00,"[1, 1]"
2011,10,00,"[1, 1]"
2011,11,00,"[1, 1]"
2011,12,00,"[1, 1]"
2012,01,00,"[2, 1]"
2012,02,00,"[2, 1]"
2012,03,00,"[2, 1]"
2012,04,00,"[2, 1]"
2012,05,00,"[2, 1]"
2012,06,00,"[2, 1]"
2012,07,00,"[2, 1]"
2012,08,00,"[2, 1]"
2012,09,00,"[2, 1]"
2012,10,00,"[2, 1]"
2012,11,00,"[2, 1]"
2012,12,00,"[2, 3]"
2013,01,00,"[3, 3]"
2013,02,00,"[3, 3]"
2013,03,00,"[3, 3]"
2013,04,00,"[3, [4, 3]]"
2013,05,00,"[3, 3]"
2013,06,00,"[3, 3]"
2013,07,00,"[3, 3]"
2013,08,00,"[3, 3]"
2013,09,00,"[3, 1]"
2013,10,00,"[3, 1]"
2013,11,00,"[3, 1]"
2013,12,00,"[3, 1]"
2014,01,00,"[3, 0]"
2014,02,00,"[3, 3]"
2014,03,00,"[3, 3]"
2014,04,00,"[3, 3]"
2014,05,00,"[3, 3]"
2014,06,00,"[3, 3]"
2014,07,00,"[3, 3]"
2014,08,00,"[3, 3]"
2014,09,00,"[3, 3]"
2014,10,00,"[3, 1]"
2014,11,00,"[3, 1]"
2014,12,00,"[3, 1]"
2015,03,00,"[3, 1]"
2015,04,00,"[3, 1]"
2015,05,00,"[3, 1]"
2015,06,00,"[3, 1]"
2015,07,00,"[3, 3]"
2015,08,00,"[3, 3]"
2015,09,00,"[3, 1]"
2015,10,00,"[3, 1]"
2015,11,00,"[3, 1]"
2015,12,00,"[3, 1]"
2016,01,00,"[3, 1]"
2016,02,00,"[3, 1]"
2016,03,00,"[3, 1]"
2016,04,00,"[3, 1]"
2016,05,00,"[3, 1]"
2016,06,00,"[3, [1, 5]]"
2016,07,00,"[3, 1]"
2016,08,00,"[3, 3]"
2016,09,00,"[3, 3]"
2016,10,00,"[3, 3]"
2016,11,00,"[3, 3]"
2016,12,00,"[3, 3]"
2017,01,00,"[3, 3]"
2017,02,00,"[3, 1]"
2017,03,00,"[3, 1]"
2017,04,00,"[3, 1]"
2017,05,00,"[3, 1]"
2017,06,00,"[3, 1]"
2017,07,01,"[5, 1]"
2017,07,02,"[5, 1]"
2017,07,03,"[5, 1]"
2017,07,04,"[5, 1]"
2017,07,05,"[5, 1]"
2017,07,06,"[5, 1]"
2017,07,07,"[5, 1]"
2017,07,08,"[5, 1]"
2017,07,09,"[5, 1]"
2017,07,10,"[5, 1]"
2017,07,11,"[5, 1]"
2017,07,12,"[5, 1]"
2017,07,13,"[5, 1]"
2017,07,14,"[5, 1]"
2017,07,15,"[5, 1]"
2017,07,16,"[5, 1]"
2017,07,17,"[5, 1]"
2017,07,18,"[5, 1]"
2017,07,19,"[5, 1]"
2017,07,20,"[5, 1]"
2017,07,21,"[5, 1]"
2017,07,22,"[5, 1]"
2017,07,23,"[5, 1]"
2017,07,24,"[5, 1]"
2017,07,25,"[5, 0]"
2017,07,26,"[5, 1]"
2017,07,27,"[5, 1]"
2017,07,28,"[5, 1]"
2017,07,29,"[5, 1]"
2017,07,30,"[5, 1]"
2017,07,31,"[5, 1]"
2017,08,01,"[5, 1]"
2017,08,02,"[5, 0]"
2017,08,03,"[5, 1]"
2017,08,04,"[5, 1]"
2017,08,05,"[5, 1]"
2017,08,06,"[5, 1]"
2017,08,07,"[5, 1]"
2017,08,08,"[5, 1]"
2017,08,09,"[5, 1]"
2017,08,10,"[5, 1]"
2017,08,11,"[5, 1]"
2017,08,12,"[5, 1]"
2017,08,13,"[5, 1]"
2017,08,14,"[5, 1]"
2017,08,15,"[5, 1]"
2017,08,16,"[5, 1]"
2017,08,17,"[5, 1]"
2017,08,18,"[5, 1]"
2017,08,19,"[5, 1]"
2017,08,20,"[5, 1]"
2017,08,21,"[5, 1]"
2017,08,22,"[5, 1]"
2017,08,23,"[5, 1]"
2017,08,24,"[5, 1]"
2017,08,25,"[5, 1]"
2017,08,26,"[5, 1]"
2017,08,27,"[5, 1]"
2017,08,28,"[5, 1]"
2017,08,29,"[5, 1]"
2017,08,30,"[5, 1]"
2017,08,31,"[5, 1]"
2017,09,01,"[5, 1]"
2017,09,02,"[5, 1]"
2017,09,03,"[5, 1]"
2017,09,04,"[5, 1]"
2017,09,05,"[5, 1]"
2017,09,06,"[5, 1]"
2017,09,07,"[5, 1]"
2017,09,08,"[5, 1]"
2017,09,09,"[5, 1]"
2017,09,10,"[5, 1]"
2017,09,11,"[5, 1]"
2017,09,12,"[5, 1]"
2017,09,13,"[5, 1]"
2017,09,14,"[5, 1]"
2017,09,15,"[5, 1]"
2017,09,16,"[5, 1]"
2017,09,17,"[5, 1]"
2017,09,18,"[5, 1]"
2017,09,19,"[5, 1]"
2017,09,20,"[5, 1]"
2017,09,21,"[5, 1]"
2017,09,22,"[5, 1]"
2017,09,23,"[5, 1]"
2017,09,24,"[5, 1]"
2017,09,25,"[5, 1]"
2017,09,26,"[5, 1]"
2017,09,27,"[5, 1]"
2017,09,28,"[5, 1]"
2017,09,29,"[5, 1]"
2017,09,30,"[5, 1]"
2017,09,31,"[5, 0]"
